Title,Author,Genre,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Date Read,Date Added,Exclusive Shelf
The Defining Decade: Why Your Twenties Matter—And How to Make the Most of Them Now,Meg Jay,Self Help,9781538754238,3,4.11,Twelve,Kindle Edition,273.0,,2022/01/25,read
Tender is the Flesh,Agustina Bazterrica,Thriller,9781982150921,0,3.85,Scribner,Paperback,209.0,,2022/04/06,to-read
Three Rooms,Jo Hamya,Contemporary Fiction,9780358572091,0,3.13,Mariner Books,Hardcover,208.0,,2022/04/01,to-read
A Thousand Splendid Suns,Khaled Hosseini,Historical Fiction,9781594489501,5,4.42,Riverhead Books,Hardcover,372.0,,2021/12/15,read
A Thousand Brains: A New Theory of Intelligence,Jeff Hawkins,Science,9781541675810,4,04.07,Basic Books,Hardcover,288.0,,2021/12/02,read
The Undying,Anne Boyer,Memoir,9781250757982,0,4.17,,Paperback,320.0,,2022/03/27,to-read
The Collected Stories of Lydia Davis,Lydia Davis,Essays,9780374270605,0,4.26,"Farrar, Straus and Giroux",Hardcover,733.0,,2022/03/27,to-read
Cultish: The Language of Fanaticism,Amanda Montell,Psycology,9780062993151,4,3.93,Harper Wave,Hardcover,309.0,,2021/11/08,read
Minor Feelings: An Asian American Reckoning,Cathy Park Hong,Essays,9781984820365,5,4.23,One World,Hardcover,209.0,,2021/05/06,read
Crying in H Mart,Michelle Zauner,Memoir,9780525657743,5,4.29,Knopf,Hardcover,256.0,,2022/01/12,read
Humble Pi: A Comedy of Maths Errors,Matt    Parker,Science,9780241360194,3,4.11,ALLEN LANE,Paperback,314.0,,2022/01/25,read
The WEIRDest People in the World: How the West Became Psychologically Peculiar and Particularly Prosperous,Joseph Henrich,History,9781250800077,3,4.14,"Farrar, Straus and Giroux",Kindle Edition,704.0,,2022/01/17,read
Orbiting Jupiter,Gary D. Schmidt,Contemporary Fiction,9780544938397,0,4.23,Clarion Books,Kindle Edition,183.0,,2022/02/23,to-read
War Doctor: Surgery on the Front Line,David Nott,Memoir,9781509837021,5,4.55,Picador,Hardcover,355.0,,2022/02/18,read
Woe from Wit,Alexander Griboyedov,Classics,9785519578271,5,4.16,Book on Demand Ltd.,Hardcover,464.0,,2022/02/17,read
The Night Watchman,Louise Erdrich,Historical Fiction,9780062671202,0,4.12,HarperCollins,ebook,464.0,,2022/02/16,to-read
Aug 9 - Fog⁠,Kathryn Scanlan,Contemporary Fiction,9780374106874,0,3.55,MCD,Hardcover,128.0,,2022/02/15,to-read
We're All in This Together: A Novella and Stories,Owen King,Contemporary Fiction,9781582345888,0,3.47,Bloomsbury Publishing PLC,Paperback,229.0,,2022/02/15,to-read
The Committed,Viet Thanh Nguyen,Classics,9780802157065,0,3.96,Grove Press,Hardcover,345.0,,2022/02/15,to-read
The Sentence,Louise Erdrich,Contemporary Fiction,9780062671127,0,3.99,Harper,Hardcover,387.0,,2022/02/15,to-read
